lad_code,lad_name,stp_code,stp_name,itl3_code,itl3_name,itl2_code,itl2_name,itl1_code,itl1_name,n_lsoa,mean_imd_score,median_imd_score,mean_lsoa_imd_decile,lad_imd_rank,lad_imd_decile
E06000032,Luton,E54000024,"Bedfordshire, Luton and Milton Keynes",TLH21,Luton,TLH2,Bedfordshire and Hertfordshire,TLH,East,121,25.034743801652894,23.46,4.322314049586778,83,3
E06000033,Southend-on-Sea,E54000026,Mid and South Essex,TLH31,Southend-on-Sea,TLH3,Essex,TLH,East,107,21.6996261682243,19.39,5.5046728971962615,118,4
E06000034,Thurrock,E54000026,Mid and South Essex,TLH32,Thurrock,TLH3,Essex,TLH,East,98,20.632714285714286,20.8005,5.26530612244898,131,5
E06000035,Medway,E54000032,Kent and Medway,TLJ41,Medway,TLJ4,Kent,TLJ,South East (England),163,23.79322699386503,22.071,4.9079754601226995,91,3
E06000036,Bracknell Forest,E54000034,Frimley Health and Care ICS,TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),75,10.282426666666666,9.013,7.959999999999999,280,10
E06000037,West Berkshire,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),97,9.889938144329896,9.049,8.072164948453608,283,10
E06000038,Reading,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),97,19.960051546391753,18.841,5.474226804123712,137,5
E06000039,Slough,E54000034,Frimley Health and Care ICS,TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),80,23.0155125,23.125999999999998,4.5375,98,4
E06000040,Windsor and Maidenhead,E54000034,Frimley Health and Care ICS,TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),89,8.460516853932583,5.821,8.48314606741573,296,10
E06000041,Wokingham,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",TLJ11,Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),99,5.819434343434343,4.552,9.272727272727273,308,10
