scenario,imd_decile,age_group,age_idx,adm_base,adm_cf,adm_diff,adm_attr_frac,death_base,death_cf,death_diff,death_attr_frac,adm_avoided_abs,death_avoided_abs
CF1: decile 10 πₐ,1,Under 1,1,0.01166002539051024,0.00890163509381811,0.0027583902966921304,23.656812093540594,4.5623872969628693e-4,3.480418507038932e-4,1.0819687899239376e-4,23.71497024472675,0.20795159505512392,0.00815682740525742
CF1: decile 10 πₐ,1,1 to 4,2,0.05425738371424643,0.0423455695485466,0.011911814165699836,21.95427304131536,0.0021230102443043574,0.0016556934342767406,4.6731681002761677e-4,22.011990346317972,3.9598233007005903,0.15534930006589043
CF1: decile 10 πₐ,1,5 to 9,3,0.12405543239655119,0.10779285314552997,0.016262579251021217,13.109123024162967,0.004962056065621336,0.004309384859437014,6.526712061843219e-4,13.153241268397398,7.065167846182072,0.28354860252396774
CF1: decile 10 πₐ,1,10 to 14,4,0.034960806408514,0.028109587315868927,0.006851219092645071,19.596856584453942,0.0013620592190505519,0.0010945060243960256,2.6755319465452624e-4,19.64328649682567,2.780984693682924,0.10860276529165024
CF1: decile 10 πₐ,1,15 to 19,5,0.013805119436838667,0.008784236518978474,0.005020882917860193,36.36971734168466,4.183205425939299e-4,2.660104881610832e-4,1.523100544328467e-4,36.40989120170854,1.7329990434520444,0.05257106826795795
CF1: decile 10 πₐ,1,20 to 24,6,0.020988172816586582,0.011562896018517153,0.00942527679806943,44.907562370654766,7.363908228191117e-4,4.053852242679938e-4,3.3100559855111795e-4,44.949718042918455,3.3924957363770476,0.11914080677520365
CF1: decile 10 πₐ,1,25 to 29,7,0.13610799105935464,0.06847972662655862,0.06762826443279603,49.68721079962481,0.006101089069799695,0.003067252821044728,0.003033836248754967,49.72614256317636,28.310485954542177,1.2700219239562025
CF1: decile 10 πₐ,1,30 to 34,8,0.18427387858869898,0.08593392571477858,0.0983399528739204,53.366192553756406,0.009213230283901792,0.0042932159393495924,0.0049200143445522,53.40162128747507,41.450873485412195,2.07381523157645
CF1: decile 10 πₐ,1,35 to 39,9,0.2598911665690281,0.11013507064416239,0.14975609592486572,57.622618691462876,0.014133747533035495,0.005985097519141232,0.008148650013894263,57.653852913730255,57.70769589653839,3.140037900060228
CF1: decile 10 πₐ,1,40 to 44,10,0.37073209323702105,0.1397369221359865,0.23099517110103454,62.30784313386968,0.022968155436287815,0.008650702440485174,0.014317452995802641,62.33610285126437,75.41485848706101,4.6743344738636745
CF1: decile 10 πₐ,1,45 to 49,11,0.5410025339861971,0.18670398631140983,0.3542985476747873,65.48925844473526,0.04095953169375447,0.014124156009014148,0.02683537568474032,65.5168029883315,114.46574496689709,8.669895175635654
CF1: decile 10 πₐ,1,50 to 54,12,0.5767228744502194,0.2052291327310768,0.3714937417191426,64.4146015663557,0.05286339014944503,0.01879609667834189,0.03406729347110314,64.44401952806047,123.69805158748271,11.343549976732445
CF1: decile 10 πₐ,1,55 to 59,13,0.8058972311961783,0.29896341821935046,0.5069338129768278,62.903034450732065,0.09197837266380618,0.03409248506101398,0.0578858876027922,62.934237610805766,157.89578892568179,18.02984463994318
