imd_decile,age_group,age_idx,adm_base,adm_closed,adm_reduction,adm_pct_red,death_base,death_closed,death_reduction,death_pct_red,adm_avoided_abs,death_avoided_abs
1,Under 1,1,0.01166002539051024,0.0031509013410277696,0.00850912404948247,72.97689125452335,4.5623872969628693e-4,1.1602140434931664e-4,3.402173253469703e-4,74.57002292932238,0.6414922212907171,0.02564855871053948
1,1 to 4,2,0.05425738371424643,0.012544855380689791,0.04171252833355664,76.87898950904285,0.0021230102443043574,4.617584823457792e-4,0.0016612517619585781,78.24982316573406,13.86642196803,0.5522469830225903
1,5 to 9,3,0.12405543239655119,0.02040907275567629,0.1036463596408749,83.54842479574988,0.004962056065621336,7.677415106126596e-4,0.004194314555008676,84.52775421197252,45.02846173447848,1.82219166304508
1,10 to 14,4,0.034960806408514,0.0060529610510048105,0.028907845357509187,82.68643754873247,0.0013620592190505519,2.2162888401330085e-4,0.001140430335037251,83.72839587930756,11.734010309623413,0.46291313459162
1,15 to 19,5,0.013805119436838667,0.003111398222541034,0.010693721214297633,77.46199707451763,4.183205425939299e-4,8.866953614731186e-5,3.29651006446618e-4,78.80344685023401,3.691025849138644,0.1137817567529465
1,20 to 24,6,0.020988172816586582,0.006425693710073419,0.014562479106513163,69.384215737945,7.363908228191117e-4,2.1209133615317113e-4,5.242994866659406e-4,71.19853621461147,5.241559408636671,0.18871422147126798
1,25 to 29,7,0.13610799105935464,0.043304205522697384,0.09280378553665726,68.18393601606164,0.006101089069799695,0.0018262797715241411,0.0042748092982755545,70.06633159046636,38.849440969680906,1.7895169957738462
1,30 to 34,8,0.18427387858869898,0.05634954789431697,0.12792433069438203,69.42076200605204,0.009213230283901792,0.0026527287004297,0.006560501583472092,71.20739828825518,53.92086423019932,2.7652903340923376
1,35 to 39,9,0.2598911665690281,0.0749214768394249,0.1849696897296032,71.17198024522874,0.014133747533035495,0.003829778869304308,0.010303968663731186,72.90330211182294,71.27706247329225,3.970578202521965
1,40 to 44,10,0.37073209323702105,0.11156998171872527,0.25916211151829577,69.90549678487237,0.022968155436287815,0.006499889635434625,0.016468265800853192,71.70042821477371,84.6107469355348,5.376527695271322
1,45 to 49,11,0.5410025339861971,0.1738546310931306,0.36714790289306654,67.86435919030903,0.04095953169375447,0.012383475710296724,0.02857605598345775,69.76655933743265,118.61707730245801,9.23226910702637
1,50 to 54,12,0.5767228744502194,0.18022245696845363,0.3965004174817658,68.7505966985865,0.05286339014944503,0.015533128929733414,0.037330261219711613,70.61647222052692,132.02464426223898,12.430035985965976
1,55 to 59,13,0.8058972311961783,0.25469298395514467,0.5512042472410337,68.39634458389831,0.09197837266380618,0.027343411102591458,0.06463496156121472,70.2719125043281,171.68479838863678,20.131993539668695
1,60 to 64,14,1.355468139935705,0.41011026802061507,0.9453578719150899,69.74401271872992,0.18995767774926067,0.05408262147287569,0.135875056276385,71.52912053164633,246.640626835518,35.44933622166832
1,65 to 69,15,1.2977005416471608,0.3973823110521564,0.9003182305950044,69.37796523165797,0.22076206535005707,0.06367722040328933,0.15708484494676775,71.15572356042334,189.40092115023145,33.04610894305286
1,70 to 74,16,1.8502015255293294,0.5640789431679641,1.2861225823613651,69.51256739416074,0.36555861170244813,0.10500961129151891,0.2605490004109292,71.27420667168059,235.51123644696975,47.7110176614245
1,75+,17,3.8878628568542557,1.15014712157656,2.7377157352776957,70.41698321357029,0.9319364002911131,0.26004733168573296,0.6718890686053802,72.09602161644284,837.0513002942567,205.4287854953589
2,Under 1,1,0.0096366100915191,0.001854377213246927,0.007782232878272173,80.7569550325699,3.769629515740553e-4,6.77847732899833e-5,3.09178178284072e-4,82.01818693138421,0.5241301840267344,0.020823023162609304
2,1 to 4,2,0.04344930468050568,0.007179628946798423,0.036269675733707256,83.47584846387727,0.0016996510289421735,2.623790418056784e-4,0.001437271987136495,84.56276980757765,10.553512380690456,0.4182079768793723
2,5 to 9,3,0.10056620178796025,0.011604888052704964,0.08896131373525529,88.46044909086514,0.004021726741388507,4.333459580698314e-4,0.0035883807833186755,89.22487811988394,33.93078693941179,1.368646422855304
2,10 to 14,4,0.026821484436555448,0.0032627328236428054,0.023558751612912644,87.8353756617737,0.0010447274128920852,1.185786624270934e-4,9.261487504649918e-4,88.64979888879954,8.433415797856028,0.331536985985924
2,15 to 19,5,0.011150252531246296,0.0017610940391148658,0.009389158492131431,84.20579234255224,3.3779775840944736e-4,4.979545723514524e-5,2.880023011743021e-4,85.2587958340482,2.9567230785389813,0.09069428865941796
2,20 to 24,6,0.018170915342665024,0.003952167261421977,0.014218748081243047,78.25003756336727,6.373764752959965e-4,1.2941889413710936e-4,5.079575811588871e-4,79.69506262731026,5.206124638910502,0.18598616866144474
2,25 to 29,7,0.111425008928104,0.02530740517279741,0.0861176037553066,77.2874999820491,0.004993338969043932,0.001058800598336833,0.003934538370707099,78.79573958626005,35.91095685591521,1.6406986669052437
2,30 to 34,8,0.14904802241916223,0.033021932512725796,0.11602608990643644,77.84476977503301,0.007450019963964392,0.0015447443858162507,0.005905275578148142,79.26523159282593,48.89864380673321,2.488750308739378
2,35 to 39,9,0.20987576927889193,0.04305502998040504,0.1668207392984869,79.4854688903169,0.011410736212484904,0.0021836711835287567,0.009227065028956148,80.8630123169483,64.6216534554095,3.5743049768221504
2,40 to 44,10,0.3024390060252399,0.06478892312677942,0.23765008289846046,78.57785476210285,0.01873223362613562,0.0037447192858548477,0.014987514340280773,80.00922174795998,78.28283796672592,4.936944024233629
2,45 to 49,11,0.454044830944586,0.10406209446803823,0.34998273647654776,77.08109698076521,0.03436661915303058,0.007353521442689087,0.027013097710341494,78.6027208264371,113.30873078944587,8.745630847580923
2,50 to 54,12,0.5062941902810062,0.11292867387246885,0.39336551640853734,77.69504844410903,0.04639452043918197,0.00965931760351511,0.036735202835666864,79.1800464535949,132.1717252185554,12.343113294153204
2,55 to 59,13,0.7290427822142391,0.16470855961843028,0.5643342225958088,77.40755911221291,0.08318287638366034,0.017549758940576983,0.06563311744308337,78.90219753927109,175.88956516543323,20.456282864461322
2,60 to 64,14,1.2438267723717726,0.26888980262524803,0.9749369697465247,78.38205378772163,0.1742628066122488,0.035197908533181665,0.13906489807906713,79.80182391329187,248.56942895511276,35.45591497284371
2,65 to 69,15,1.1900090338992722,0.26013748869389963,0.9298715452053725,78.13987278386335,0.20238671685810308,0.04137720163011467,0.1610095152279884,79.5553768189614,190.67259047880083,33.015421881176096
2,70 to 74,16,1.7620547644311852,0.38345797649299823,1.378596787938187,78.23802164192192,0.3480450203790846,0.0708773100072061,0.2771677103718785,79.635591415729,255.45329405372468,51.35903785596207
2,75+,17,3.823470145221227,0.8072591878003832,3.016210957420844,78.88674013031492,0.9162452286121948,0.1812983868815076,0.7349468417306873,80.21289702581981,966.3523436449279,235.46682012195632
3,Under 1,1,0.008414509682699451,0.0012874097234782072,0.007127099959221244,84.70012190817047,3.2889000083273804e-4,4.7075174543018526e-5,2.818148262897195e-4,85.68665072704374,0.44000368270401546,0.01739831938902931
