itl1_name,lad_imd_decile,abs_adm,abs_death,total_pop,adm_per1000,death_per1000
East,1,93.20913180326255,17.34096936335795,6269161,0.014867879737537852,0.0027660749761184867
East,2,418.63369932935973,77.30073408564715,6269161,0.06677667064689513,0.012330315665149954
East,3,519.7203769951635,96.849845267131,6269161,0.08290110542625458,0.015448613501412868
East,4,532.7128357445231,102.6753542493654,6269161,0.08497354522312046,0.01637784613433367
East,5,832.5693138196641,164.18778715025957,6269161,0.13280394518814626,0.026189754442462007
East,6,393.06801304710996,78.51615188045207,6269161,0.06269866303435338,0.012524188145822394
East,7,686.6340041142436,138.6931100143222,6269161,0.10952566126699308,0.022123073568268897
East,8,728.1107866002719,147.84201999849654,6269161,0.1161416633900887,0.02358242514404982
East,9,662.6394086296066,134.7472768389114,6269161,0.10569825988351657,0.021493669860913032
East,10,471.0392197215058,96.41681439301703,6269161,0.07513592643760558,0.015379540323341039
East Midlands (England),1,378.559757361242,62.37044035355408,4865583,0.07780357613080323,0.012818698263610769
East Midlands (England),2,335.7563438361851,62.830015065237916,4865583,0.0690063952944971,0.012913152455777226
East Midlands (England),3,490.1639249700604,90.84448465623234,4865583,0.10074104685297947,0.01867083238662917
East Midlands (England),4,184.94903504917937,35.62824103940207,4865583,0.03801169048995349,0.007322501956990986
East Midlands (England),5,671.1177193900851,130.9640390608535,4865583,0.1379316146472242,0.026916412495861956
East Midlands (England),6,778.4324830038711,154.53651102032592,4865583,0.1599875046842015,0.031761149901322394
East Midlands (England),7,495.20106301569604,99.2811942986234,4865583,0.10177630574089395,0.020404788963341785
East Midlands (England),8,469.4592674816405,95.56853451453239,4865583,0.09648571763787413,0.019641743757024058
East Midlands (England),9,239.46314571587482,49.21829665438266,4865583,0.04921571489292749,0.010115601080976866
East Midlands (England),10,190.96452870789858,39.57582238346465,4865583,0.03924802612716679,0.008133829467807793
London,1,235.69113807008463,34.8431110194373,9002488,0.026180666730140002,0.0038703868329996445
London,2,754.7255253478346,115.97343012589144,9002488,0.08383521592562351,0.012882375419538626
London,3,1108.5523823540002,185.13136046874152,9002488,0.12313844598893108,0.020564466230751047
London,4,909.3472236826228,162.32682849976925,9002488,0.10101065657434066,0.018031329616853612
London,5,357.1140371289708,65.41519244748174,9002488,0.03966837135789248,0.007266345975410546
London,6,907.2040770666456,172.60152631373887,9002488,0.10077259498336967,0.019172647196390474
London,7,807.9302580960829,158.46561536925034,9002488,0.0897452191101041,0.017602424504120456
London,8,382.6415863345742,76.2439050750301,9002488,0.04250398182531031,0.008469203744012777
London,9,93.05805486189313,18.23246223414931,9002488,0.010336926287698816,0.0020252692626915258
London,10,110.68998042233792,22.13594964145644,9002488,0.012295487694328271,0.0024588702191501327
North East (England),1,298.9140034626393,52.63151005578557,2680763,0.11150333075420667,0.01963303360117458
North East (England),2,1241.6186524234377,226.5396307210646,2680763,0.4631586799815715,0.08450565406977961
North East (England),3,269.22823957799005,49.813107669969895,2680763,0.10042970586284206,0.018581690238924475
North East (England),4,547.6607101965483,105.597654037573,2680763,0.204292848788404,0.039390895068893816
North West (England),1,2002.3665194741488,341.40737398855856,7367456,0.27178533804262267,0.04633992710490006
North West (England),2,993.1030637015381,182.4679508065014,7367456,0.13479592734609314,0.024766751346258654
North West (England),3,548.1370935945358,101.6500322698549,7367456,0.0743997783759463,0.013797168557213631
North West (England),4,515.4818760676143,100.0144362000351,7367456,0.06996741834190992,0.013575165728853367
North West (England),5,604.1650525448208,118.4468170028974,7367456,0.08200456881518137,0.01607703079636952
North West (England),6,585.312304452561,117.2138065969636,7367456,0.07944564642836835,0.015909671750596623
North West (England),7,403.79311649818305,81.63810681252457,7367456,0.05480767262107613,0.011080908635562202
North West (England),8,359.2277282602023,73.62607624591503,7367456,0.048758720548884485,0.00999341920004884
North West (England),9,155.0900662864082,32.175714163583436,7367456,0.02105069460698621,0.004367276053441437
South East (England),1,77.09181142549966,13.742752845090347,9217265,0.008363848866827594,0.0014909794657189902
South East (England),2,431.81782532308813,78.28734948977004,9217265,0.04684880225566783,0.00849355524548443
South East (England),3,483.7485116256538,88.44042271117114,9217265,0.052482869010021284,0.009595083000344586
South East (England),4,632.3308452575493,122.73920399096194,9217265,0.06860287137860843,0.013316228186014174
South East (England),5,1134.0834236778228,220.91709773459354,9217265,0.12303903855187225,0.02396774940663999
South East (England),6,883.6176538607854,174.72784809641047,9217265,0.09586549305686506,0.018956582901371553
South East (England),7,406.93119432956314,81.98399969463755,9217265,0.0441488005747435,0.008894612414272297
South East (England),8,856.5974096111158,176.67562252114084,9217265,0.09293401129414375,0.01916790094687967
South East (England),9,576.3200045263814,117.41137592662433,9217265,0.0625261402950204,0.012738201182956585
South East (England),10,2046.733132677925,421.93999761237797,9217265,0.22205427886449233,0.04577713645125511
South West (England),2,153.09322774518466,29.518557576068815,5659143,0.02705236954520935,0.005216082642914098
South West (England),3,1136.8557833480222,212.9773645915557,5659143,0.20088832944281884,0.03763420796957343
South West (England),4,318.6291958032397,61.550819646189886,5659143,0.05630343601553092,0.010876349943125644
South West (England),5,490.4278099547421,96.69846628086844,5659143,0.0866611446211453,0.01708712189829245
South West (England),6,1222.0922064359875,247.9366658153748,5659143,0.21595004869747725,0.043811698311100246
South West (England),7,986.153849573976,204.3304078961674,5659143,0.17425851397887912,0.036106245750667086
South West (England),8,719.8073707594888,148.4687219952695,5659143,0.12719370596563626,0.0262351953282095
South West (England),9,584.8125167155116,119.69930365883789,5659143,0.10333941317890563,0.021151489485040028
West Midlands (England),1,1490.3463051229724,255.81659608001578,5961929,0.24997719783697062,0.042908360042532505
West Midlands (England),3,392.3496745476441,70.7052883242755,5961929,0.06580918265676161,0.011859465002732422
West Midlands (England),4,682.7008392806691,131.12361090550547,5961929,0.11451005862040106,0.021993487494652398
West Midlands (England),5,632.6444100891542,124.63337980532833,5961929,0.10611404632446214,0.020904874882832106
West Midlands (England),6,845.0381958806704,171.60410662626026,5961929,0.14173905725490363,0.02878331939650074
West Midlands (England),7,256.57059126754746,52.679860147928075,5961929,0.043034828369735274,0.008836042855915943
West Midlands (England),8,426.735782187084,87.65403879055557,5961929,0.0715767970713982,0.014702294977104822
West Midlands (England),9,298.50289310744165,61.57961201757886,5961929,0.05006817308750937,0.010328806669381482
Yorkshire and The Humber,1,664.0399836094181,114.03889403982107,5526350,0.12015887224106654,0.020635481654224047
Yorkshire and The Humber,2,2026.1885486192486,365.36539289600717,5526350,0.3666413724464156,0.06611332848914875
Yorkshire and The Humber,3,674.1586326624658,125.06424174930979,5526350,0.12198985454458472,0.02263053222277087
Yorkshire and The Humber,4,167.28153635699363,32.076294107654675,5526350,0.030269804908663697,0.005804245859863142
Yorkshire and The Humber,7,461.2376082244569,94.81641651659994,5526350,0.08346152672640293,0.01715715011112216
Yorkshire and The Humber,8,183.98638869561762,37.4560113983957,5526350,0.03329256900044652,0.0067777124862514505
Yorkshire and The Humber,9,360.57864004075657,74.17594817479718,5526350,0.0652471595249589,0.013422231341626425
