lsoa_code,urban_rural
E01000359,Urban
E01000360,Urban
E01000361,Urban
E01000362,Urban
E01000363,Urban
E01000364,Urban
E01000365,Urban
E01000366,Urban
E01000367,Urban
E01000368,Urban
E01000369,Urban
E01000370,Urban
E01000371,Urban
E01000372,Urban
E01000373,Urban
E01000374,Urban
E01000375,Urban
E01000376,Urban
E01000377,Urban
E01000378,Urban
E01000379,Urban
E01000380,Urban
E01000381,Urban
E01000382,Urban
E01000383,Urban
E01000384,Urban
E01000385,Urban
E01000386,Urban
E01000387,Urban
E01000388,Urban
E01000389,Urban
E01000390,Urban
E01000391,Urban
E01000392,Urban
E01000393,Urban
E01000394,Urban
E01000395,Urban
E01000396,Urban
E01000398,Urban
E01000399,Urban
E01000400,Urban
E01000401,Urban
E01000402,Urban
E01000403,Urban
E01000404,Urban
E01000405,Urban
E01000406,Urban
E01000407,Urban
E01000408,Urban
E01000409,Urban
E01000410,Urban
E01000411,Urban
E01000412,Urban
E01000413,Urban
E01000414,Urban
E01000415,Urban
E01000416,Urban
E01000417,Urban
E01000418,Urban
E01000419,Urban
E01000420,Urban
E01000421,Urban
E01000422,Urban
E01000423,Urban
E01000424,Urban
E01000425,Urban
E01000426,Urban
E01000427,Urban
E01000428,Urban
E01000429,Urban
E01000430,Urban
E01000431,Urban
E01000432,Urban
E01000433,Urban
E01000434,Urban
E01000435,Urban
E01000436,Urban
E01000437,Urban
E01000438,Urban
E01000439,Urban
E01000440,Urban
E01000441,Urban
E01000442,Urban
E01000443,Urban
E01000444,Urban
E01000445,Urban
E01000446,Urban
E01000447,Urban
E01000448,Urban
E01000449,Urban
E01000450,Urban
E01000451,Urban
E01000452,Urban
E01000453,Urban
E01000454,Urban
E01000455,Urban
E01000456,Urban
E01000457,Urban
E01000458,Urban
E01000459,Urban
E01000460,Urban
E01000461,Urban
E01000462,Urban
E01000463,Urban
E01000464,Urban
E01000465,Urban
E01000466,Urban
E01000467,Urban
E01000468,Urban
E01000469,Urban
E01000470,Urban
E01000471,Urban
E01000472,Urban
E01000473,Urban
E01000474,Urban
E01000475,Urban
E01000476,Urban
E01000477,Urban
E01000478,Urban
E01000479,Urban
E01000480,Urban
E01000481,Urban
E01000482,Urban
E01000483,Urban
E01000484,Urban
E01000485,Urban
E01000486,Urban
E01000487,Urban
E01000488,Urban
E01000489,Urban
E01000490,Urban
E01000491,Urban
E01000492,Urban
E01000493,Urban
E01000494,Urban
E01000495,Urban
E01000497,Urban
E01000498,Urban
E01000499,Urban
E01000501,Urban
E01000502,Urban
E01000503,Urban
E01000504,Urban
E01000505,Urban
E01000506,Urban
E01000507,Urban
E01000508,Urban
E01000509,Urban
E01000510,Urban
E01000511,Urban
E01000512,Urban
E01000513,Urban
E01000514,Urban
E01000515,Urban
E01000516,Urban
E01000517,Urban
E01000518,Urban
E01000519,Urban
E01000520,Urban
E01000521,Urban
E01000522,Urban
E01000523,Urban
E01000524,Urban
E01000525,Urban
E01000526,Urban
E01000527,Urban
E01000528,Urban
E01000530,Urban
E01000531,Urban
E01000532,Urban
E01000533,Urban
E01000534,Urban
E01000535,Urban
E01000536,Urban
E01000538,Urban
E01000539,Urban
E01000540,Urban
E01000541,Urban
E01000543,Urban
E01000544,Urban
E01000545,Urban
E01000546,Urban
E01000547,Urban
E01000548,Urban
E01000549,Urban
E01000550,Urban
E01000551,Urban
E01000552,Urban
E01000553,Urban
E01000554,Urban
E01000555,Urban
E01000556,Urban
E01000557,Urban
E01000558,Urban
E01000559,Urban
E01000560,Urban
E01000561,Urban
E01000562,Urban
E01000563,Urban
E01000564,Urban
E01000565,Urban
E01000566,Urban
E01000567,Urban
E01000568,Urban
E01000569,Urban
E01000570,Urban
E01000571,Urban
E01000572,Urban
E01000573,Urban
E01000574,Urban
E01000575,Urban
E01000576,Urban
E01000577,Urban
E01000578,Urban
E01000579,Urban
E01000580,Urban
E01000581,Urban
E01000582,Urban
E01000583,Urban
E01000584,Urban
E01000585,Urban
E01000586,Urban
E01000587,Urban
E01000588,Urban
E01000589,Urban
E01000590,Urban
E01000591,Urban
E01000592,Urban
E01000593,Urban
E01000594,Urban
E01000595,Urban
E01000596,Urban
E01000599,Urban
E01000600,Urban
E01000601,Urban
E01000602,Urban
E01000603,Urban
E01000604,Urban
E01000605,Urban
E01000606,Urban
E01000607,Urban
E01000608,Urban
E01000609,Urban
E01000610,Urban
E01000611,Urban
E01000612,Urban
E01000613,Urban
E01000615,Urban
E01000616,Urban
E01000617,Urban
E01000618,Urban
E01000619,Urban
E01000620,Urban
E01000621,Urban
E01000622,Urban
E01000623,Urban
E01000624,Urban
E01000625,Urban
E01000626,Urban
E01000627,Urban
E01000628,Urban
E01000629,Urban
E01000630,Urban
E01000631,Urban
E01000632,Urban
E01000633,Urban
E01000634,Urban
E01000635,Urban
E01000636,Urban
E01000637,Urban
E01000638,Urban
E01000639,Urban
E01000640,Urban
E01000641,Urban
E01000642,Urban
E01000643,Urban
E01000644,Urban
E01000645,Urban
E01000646,Urban
E01000647,Urban
E01000648,Urban
E01000649,Urban
E01000650,Urban
E01000651,Urban
E01000652,Urban
E01000653,Urban
E01000654,Urban
E01000655,Urban
E01000656,Urban
E01000657,Urban
E01000658,Urban
E01000659,Urban
E01000661,Urban
E01000662,Urban
E01000663,Urban
E01000664,Urban
E01000665,Urban
E01000666,Urban
E01000667,Urban
E01000668,Urban
E01000669,Urban
E01000670,Urban
E01000671,Urban
E01000672,Urban
E01000673,Urban
E01000674,Urban
E01000675,Urban
E01000676,Urban
E01000677,Urban
E01000678,Urban
E01000679,Urban
E01000680,Urban
E01000681,Urban
E01000682,Urban
E01000683,Urban
E01000684,Urban
E01000685,Urban
E01000686,Urban
E01000687,Urban
E01000688,Urban
E01000689,Urban
E01000690,Urban
E01000691,Urban
E01000692,Urban
E01000693,Urban
E01000694,Urban
E01000695,Urban
E01000696,Urban
E01000697,Urban
E01000698,Urban
E01000699,Urban
E01000700,Urban
E01000701,Urban
E01000702,Urban
E01000703,Urban
E01000704,Urban
E01000705,Urban
E01000706,Urban
E01000707,Urban
E01000708,Urban
E01000709,Urban
E01000710,Urban
E01000711,Urban
E01000712,Urban
E01000713,Urban
E01000714,Urban
E01000715,Urban
E01000716,Urban
E01000717,Urban
E01000718,Urban
E01000719,Urban
E01000720,Urban
E01000721,Urban
E01000722,Urban
E01000723,Urban
E01000724,Urban
E01000725,Urban
E01000726,Urban
E01000727,Urban
E01000728,Urban
E01000729,Urban
E01000730,Urban
E01000731,Urban
E01000732,Urban
E01000733,Urban
E01000734,Urban
E01000735,Urban
E01000736,Urban
E01000737,Urban
E01000738,Urban
E01000739,Urban
E01000740,Urban
E01000741,Urban
E01000742,Urban
E01000743,Urban
E01000744,Urban
E01000745,Urban
E01000746,Urban
E01000747,Urban
E01000748,Rural
E01000749,Rural
E01000750,Urban
E01000751,Urban
E01000752,Urban
E01000753,Urban
E01000754,Urban
E01000755,Urban
E01000756,Urban
E01000757,Urban
E01000758,Urban
E01000759,Urban
E01000760,Urban
E01000761,Urban
E01000762,Urban
E01000763,Urban
E01000764,Urban
E01000765,Urban
E01000766,Urban
E01000767,Urban
E01000768,Urban
E01000769,Urban
E01000770,Urban
E01000771,Urban
E01000772,Urban
E01000773,Urban
E01000774,Urban
E01000775,Urban
E01000777,Urban
E01000778,Urban
E01000779,Urban
E01000780,Urban
E01000781,Urban
E01000782,Urban
E01000783,Urban
E01000784,Urban
E01000785,Urban
E01000786,Urban
E01000787,Urban
E01000788,Urban
E01000789,Urban
E01000790,Urban
E01000791,Urban
E01000792,Urban
E01000793,Urban
E01000794,Urban
E01000795,Urban
E01000796,Urban
E01000797,Urban
E01000798,Urban
E01000799,Urban
E01000800,Urban
E01000801,Urban
E01000802,Urban
E01000803,Urban
E01000804,Urban
E01000805,Urban
E01000806,Urban
E01000807,Urban
E01000808,Urban
E01000809,Urban
E01000810,Urban
E01000811,Urban
E01000812,Urban
E01000813,Urban
E01000814,Urban
E01000815,Urban
E01000816,Urban
E01000818,Urban
E01000819,Urban
E01000820,Urban
E01000822,Urban
E01000823,Urban
E01000824,Urban
E01000825,Urban
E01000826,Urban
E01000827,Urban
E01000828,Urban
E01000829,Urban
E01000830,Urban
E01000831,Urban
E01000832,Urban
E01000833,Urban
E01000834,Urban
E01000835,Urban
E01000836,Urban
E01000837,Urban
E01000838,Urban
E01000839,Urban
E01000840,Urban
E01000841,Urban
E01000842,Urban
E01000843,Urban
E01000844,Urban
E01000845,Urban
E01000846,Urban
E01000847,Urban
E01000848,Urban
E01000849,Urban
E01000850,Urban
E01000851,Urban
E01000852,Urban
E01000853,Urban
E01000854,Urban
E01000855,Urban
E01000856,Urban
E01000857,Urban
E01000858,Urban
E01000859,Urban
E01000860,Urban
E01000861,Urban
E01000862,Urban
E01000863,Urban
E01000864,Urban
E01000865,Urban
E01000866,Urban
E01000867,Urban
E01000868,Urban
E01000869,Urban
E01000870,Urban
E01000871,Urban
E01000872,Urban
E01000873,Urban
E01000874,Urban
E01000875,Urban
E01000876,Urban
E01000877,Urban
E01000878,Urban
E01000879,Urban
E01000880,Urban
E01000881,Urban
E01000882,Urban
E01000883,Urban
E01000884,Urban
E01000885,Urban
E01000886,Urban
E01000887,Urban
E01000888,Urban
E01000889,Urban
E01000890,Urban
E01000891,Urban
E01000892,Urban
E01000893,Urban
E01000894,Urban
E01000895,Urban
E01000896,Urban
E01000897,Urban
E01000898,Urban
E01000899,Urban
E01000900,Urban
