IMD,w_urban
1,0.9844988615986228
2,0.9610888234848081
3,0.9307301240503525
4,0.853684450400896
5,0.781692864105709
6,0.730723422827081
7,0.7318289580614884
8,0.7479578630818663
9,0.7530452260212657
10,0.8066385120333226
